full_name,stars,forks,open_issues,created_at,pushed_at,language,license,description
georgian-io/LLM-Finetuning-Toolkit,872,107,16,2023-07-24T14:22:42Z,2026-05-04T16:33:40Z,Python,Apache License 2.0,"Toolkit for fine-tuning, ablating and unit-testing open-source LLMs."
tingaicompass/AI-Compass,869,117,4,2025-05-27T02:57:55Z,2026-07-20T03:14:23Z,Python,,“AI-Compass”将为社区指引在 AI 技术海洋中航行的方向，无论你是初学者还是进阶开发者，都能在这里找到通往 AI 各大方向的路径。旨在帮助开发者系统性地了解 AI 的核心概念、主流技术、前沿趋势，并通过实践掌握从理论到落地的全过程。
ethz-adrl/ifopt,864,163,18,2017-12-13T14:30:12Z,2025-11-03T20:02:20Z,C++,"BSD 3-Clause ""New"" or ""Revised"" License","An Eigen-based, light-weight C++ Interface to Nonlinear Programming Solvers (Ipopt, Snopt)"
abhimishra91/transformers-tutorials,863,196,19,2020-05-04T06:37:14Z,2024-04-01T14:43:18Z,Jupyter Notebook,MIT License,Github repo with tutorials to fine tune transformers for diff NLP tasks
soskek/bookcorpus,863,113,6,2018-07-14T04:46:30Z,2023-07-14T06:34:00Z,Python,MIT License,Crawl BookCorpus
amanjeetsahu/Natural-Language-Processing-Specialization,859,690,7,2020-07-06T16:47:43Z,2023-09-17T08:37:13Z,Jupyter Notebook,,"This repo contains my coursework, assignments, and Slides for Natural Language Processing Specialization by deeplearning.ai on Coursera"
explosion/spacy-streamlit,858,114,9,2020-06-23T11:00:08Z,2024-07-29T18:48:07Z,Python,MIT License,👑 spaCy building blocks and visualizers for Streamlit apps
patrickschur/language-detection,855,84,7,2016-12-25T04:16:41Z,2025-03-25T22:59:24Z,PHP,MIT License,A language detection library for PHP. Detects the language from a given text string.
curiosity-ai/catalyst,854,85,49,2019-08-04T09:00:12Z,2026-07-22T15:47:29Z,C#,MIT License,"🚀 Catalyst is a C# Natural Language Processing library built for speed. Inspired by spaCy's design, it brings pre-trained models, out-of-the box support for training word and document embeddings, and flexible entity recognition models."
AnswerDotAI/byaldi,851,92,44,2024-09-04T22:44:04Z,2025-01-28T20:47:40Z,Python,Apache License 2.0,Use late-interaction multi-modal models such as ColPali in just a few lines of code.
zkywsg/Daily-LLM,850,160,0,2019-07-05T11:32:03Z,2026-06-29T17:43:08Z,TypeScript,MIT License,🔥机器学习/深度学习/Python/大模型/多模态/LLM/deeplearning/Python/Algorithm interview/NLP Tutorial
kengz/aiva,847,587,18,2015-08-10T04:21:39Z,2020-04-16T15:50:17Z,JavaScript,MIT License,AIVA (A.I. Virtual Assistant): General-purpose virtual assistant for developers.
t-davidson/hate-speech-and-offensive-language,846,329,0,2017-03-01T18:13:12Z,2023-06-12T07:40:46Z,Jupyter Notebook,MIT License,"Repository for the paper ""Automated Hate Speech Detection and the Problem of Offensive Language"", ICWSM 2017"
bin123apple/AutoCoder,846,71,6,2024-05-13T03:06:16Z,2024-07-06T21:00:06Z,Python,Apache License 2.0,We introduced a new model designed for the Code generation task. Its test accuracy on the HumanEval base dataset surpasses that of GPT-4 Turbo (April 2024) and GPT-4o. 
goru001/inltk,838,159,39,2019-03-23T08:28:20Z,2024-01-20T12:40:33Z,Python,MIT License,Natural Language Toolkit for Indic Languages aims to provide out of the box support for various NLP tasks that an application developer might need
tensorlayer/seq2seq-chatbot,837,308,28,2017-09-05T23:11:14Z,2021-10-05T13:25:46Z,Python,,Chatbot in 200 lines of code using TensorLayer
smilelight/lightNLP,832,209,6,2019-01-25T06:25:47Z,2020-12-14T12:58:37Z,Python,Apache License 2.0,基于Pytorch和torchtext的自然语言处理深度学习框架。
cocacola-lab/ChatIE,826,68,14,2023-02-16T09:34:07Z,2024-05-28T02:57:38Z,Python,Other,"The online version is temporarily unavailable because we cannot afford the key. You can clone and run it locally. Note: we set defaul openai key. If keys exceed plan and are invalid, please tell us. The response speed depends on openai. ( sometimes, the official is too crowded and slow)"
carpedm20/MemN2N-tensorflow,825,245,10,2015-12-07T13:18:50Z,2017-03-14T01:33:15Z,Python,MIT License,"""End-To-End Memory Networks"" in Tensorflow"
yvann-ba/Robby-chatbot,816,285,1,2023-04-09T19:42:17Z,2026-02-21T09:38:01Z,Python,Apache License 2.0,"AI chatbot 🤖 for chat with CSV, PDF, TXT files 📄 and YTB videos 🎥 | using Langchain🦜 | OpenAI | Streamlit ⚡"
pemistahl/lingua,815,76,13,2018-11-15T08:17:18Z,2025-03-21T07:39:07Z,Kotlin,Apache License 2.0,"The most accurate natural language detection library for Java and the JVM, suitable for long and short text alike"
Separius/BERT-keras,813,190,7,2018-10-23T06:26:07Z,2019-07-26T09:36:13Z,Python,GNU General Public License v3.0,Keras implementation of BERT with pre-trained weights
princeton-nlp/PURE,813,122,12,2021-03-23T19:38:03Z,2022-07-07T11:46:27Z,Python,MIT License,[NAACL 2021] A Frustratingly Easy Approach for Entity and Relation Extraction https://arxiv.org/abs/2010.12812
ShawnyXiao/TextClassification-Keras,812,186,15,2019-01-03T15:56:00Z,2023-03-25T00:34:20Z,Python,MIT License,"Text classification models implemented in Keras, including: FastText, TextCNN, TextRNN, TextBiRNN, TextAttBiRNN, HAN, RCNN, RCNNVariant, etc."
XiaoMi/MiNLP,809,88,16,2020-11-09T09:22:11Z,2025-11-27T02:30:25Z,Scala,Apache License 2.0,XiaoMi Natural Language Processing Toolkits 
MIND-Lab/OCTIS,803,116,47,2020-03-13T09:26:34Z,2026-06-21T17:02:38Z,Python,MIT License,OCTIS: Comparing Topic Models is Simple! A python package to optimize and evaluate topic models (accepted at EACL2021 demo track)
junruxiong/IncarnaMind,801,55,9,2023-08-25T14:13:15Z,2025-02-07T00:23:08Z,Python,Apache License 2.0,"Connect and chat with your multiple documents (pdf and txt) through GPT 3.5, GPT-4 Turbo, Claude and Local Open-Source LLMs"
nlp-uoregon/trankit,795,106,40,2021-01-08T20:39:14Z,2025-07-22T19:16:10Z,Python,Apache License 2.0,Trankit is a Light-Weight Transformer-based Python Toolkit for Multilingual Natural Language Processing
Ayanami0730/deep_research_bench,795,83,24,2025-06-13T09:36:49Z,2026-05-11T06:14:30Z,Python,Apache License 2.0,DeepResearch Bench: A Comprehensive Benchmark for Deep Research Agents
LexPredict/lexpredict-lexnlp,791,200,52,2017-09-30T08:44:23Z,2024-05-27T14:36:17Z,Jupyter Notebook,GNU Affero General Public License v3.0,LexNLP by LexPredict
carpedm20/lstm-char-cnn-tensorflow,788,240,17,2015-12-10T16:31:03Z,2018-07-27T11:04:42Z,Python,MIT License,in progress
google-research/long-range-arena,787,87,28,2020-11-07T17:01:07Z,2023-12-16T10:07:31Z,Python,Apache License 2.0,Long Range Arena for Benchmarking Efficient Transformers
PaddlePaddle/RocketQA,785,123,66,2021-09-07T03:36:20Z,2023-12-19T08:08:35Z,Python,Apache License 2.0,"🚀 RocketQA, dense retrieval for information retrieval and question answering, including both Chinese and English state-of-the-art models. "
thunlp/OpenAttack,778,127,28,2020-02-29T09:42:52Z,2023-07-20T16:59:46Z,Python,MIT License,An Open-Source Package for Textual Adversarial Attack.
Tencent/PatrickStar,773,59,8,2021-04-02T09:17:36Z,2025-11-18T06:52:32Z,Python,"BSD 3-Clause ""New"" or ""Revised"" License","PatrickStar enables Larger, Faster, Greener Pretrained Models for NLP and democratizes AI for everyone."
Unbabel/COMET,770,112,61,2020-05-28T14:59:58Z,2026-04-21T22:26:09Z,Python,Apache License 2.0, A Neural Framework for MT Evaluation
seriousran/awesome-qa,769,104,1,2018-07-20T02:31:32Z,2022-01-13T02:23:01Z,,Creative Commons Zero v1.0 Universal,😎 A curated list of the Question Answering (QA)
IntelLabs/RAG-FiT,768,62,1,2024-07-23T13:20:35Z,2026-06-08T20:39:29Z,Python,Apache License 2.0,Framework for enhancing LLMs for RAG tasks using fine-tuning.
jerryji1993/DNABERT,768,179,73,2020-06-11T14:41:54Z,2026-01-22T20:30:14Z,Python,Apache License 2.0,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome
yaserkl/RLSeq2Seq,767,160,13,2018-05-24T00:24:40Z,2023-03-24T21:54:58Z,Python,MIT License,Deep Reinforcement Learning For Sequence to Sequence Models
openeventdata/mordecai,767,99,28,2016-06-23T19:49:45Z,2021-09-17T11:54:38Z,Python,MIT License,Full text geoparsing as a Python library
oneTaken/awesome_deep_learning_interpretability,767,122,2,2020-01-01T02:17:20Z,2024-04-08T09:36:12Z,,MIT License,深度学习近年来关于神经网络模型解释性的相关高引用/顶会论文(附带代码)
mila-iqia/babyai,765,155,14,2018-10-02T17:58:24Z,2023-10-01T01:53:59Z,Python,"BSD 3-Clause ""New"" or ""Revised"" License",BabyAI platform. A testbed for training agents to understand and execute language commands.
ChenghaoMou/text-dedup,764,79,1,2021-03-13T17:00:44Z,2026-03-09T10:24:42Z,Python,Apache License 2.0,All-in-one text de-duplication
dbpedia-spotlight/dbpedia-spotlight,759,192,48,2012-04-22T12:24:42Z,2018-03-08T12:37:40Z,Scala,,DBpedia Spotlight is a tool for automatically annotating mentions of DBpedia resources in text.
bab2min/Kiwi,756,68,16,2017-02-21T12:35:12Z,2026-06-11T16:59:20Z,C++,Other,Kiwi(지능형 한국어 형태소 분석기)
alvations/pywsd,748,130,19,2014-01-03T09:48:52Z,2026-04-18T06:26:10Z,Python,MIT License,Python Implementations of Word Sense Disambiguation (WSD) Technologies.
explosion/spacy-stanza,747,63,14,2019-01-31T03:08:06Z,2024-08-15T16:33:50Z,Python,MIT License,💥 Use the latest Stanza (StanfordNLP) research models directly in spaCy
primeqa/primeqa,740,57,24,2022-06-15T02:15:41Z,2025-09-18T19:04:56Z,Python,Apache License 2.0,The prime repository for state-of-the-art Multilingual Question Answering research and development.
redhuntlabs/Octopii,739,64,2,2022-04-20T11:02:41Z,2025-01-22T10:50:06Z,Python,Other,An AI-powered Personal Identifiable Information (PII) scanner.
tomaarsen/attention_sinks,735,44,21,2023-10-02T14:51:53Z,2024-04-10T22:54:31Z,Python,Apache License 2.0,"Extend existing LLMs way beyond the original training length with constant memory usage, without retraining"
Renumics/awesome-open-data-centric-ai,735,41,5,2023-02-27T21:33:59Z,2023-11-15T11:02:12Z,,Creative Commons Attribution 4.0 International,Curated list of open source tooling for data-centric AI on unstructured data. 
sheepzh/poetry,734,89,1,2019-04-16T04:27:54Z,2025-09-12T16:47:22Z,Python,MIT License,地球上最全的华语现代诗歌语料库，3k+诗人，80K+诗歌，15M+字
zjunlp/PromptKG,734,76,1,2021-12-18T04:07:44Z,2024-03-22T02:35:50Z,Python,MIT License,"PromptKG Family: a Gallery of Prompt Learning & KG-related research works, toolkits, and paper-list."
titipata/pubmed_parser,734,182,21,2015-03-05T05:13:57Z,2025-07-31T15:29:44Z,Python,MIT License,:clipboard: A Python Parser for PubMed Open-Access XML Subset and MEDLINE XML Dataset
wagamamaz/tensorflow-tutorial,729,207,0,2016-08-25T17:11:00Z,2018-02-26T23:00:27Z,,,TensorFlow and Deep Learning Tutorials
salesforce/xgen,727,41,9,2023-06-23T01:55:52Z,2026-06-02T18:17:21Z,Python,Apache License 2.0,Salesforce open-source LLMs with 8k sequence length.
Liquid-Legal-Institute/Legal-Text-Analytics,726,140,0,2020-09-30T14:34:30Z,2024-11-05T08:32:10Z,,Creative Commons Attribution Share Alike 4.0 International,"A list of selected resources, methods, and tools dedicated to Legal Text Analytics."
lucidrains/vit-pytorch,25430,3502,142,2020-10-03T22:47:24Z,2026-06-22T01:06:24Z,Python,MIT License,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch"
graphdeco-inria/gaussian-splatting,22742,3323,715,2023-07-04T07:51:38Z,2025-10-17T14:28:15Z,Python,Other,"Original reference implementation of ""3D Gaussian Splatting for Real-Time Radiance Field Rendering"""
MaaAssistantArknights/MaaAssistantArknights,22045,2726,634,2021-07-09T18:26:38Z,2026-07-22T16:29:54Z,C++,GNU Affero General Public License v3.0,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients."
screenpipe/screenpipe,20387,2011,104,2024-06-19T13:23:56Z,2026-07-22T17:15:02Z,Rust,Other,"YC (S26) | Record your screen 24/7 and plug into your agents. Local, private, secure. Connect to OpenClaw, Hermes agent and 100+ apps"
microsoft/AirSim,18330,4908,752,2017-02-14T00:52:29Z,2026-06-30T19:34:07Z,C++,Other,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research"
pytorch/vision,17831,7234,1180,2016-11-09T23:11:43Z,2026-07-22T12:08:06Z,Python,"BSD 3-Clause ""New"" or ""Revised"" License","Datasets, Transforms and Models specific to Computer Vision"
NVlabs/instant-ngp,17499,2066,503,2022-01-05T17:11:30Z,2026-02-02T12:32:34Z,Cuda,Other,Instant neural graphics primitives: lightning fast NeRF and more
alicevision/Meshroom,12845,1218,516,2015-04-22T17:33:16Z,2026-07-22T08:14:11Z,Python,Other,Node-based Visual Programming Toolbox
colmap/colmap,12275,2088,704,2014-08-16T00:55:31Z,2026-07-22T16:01:48Z,C++,Other,COLMAP - Structure-from-Motion and Multi-View Stereo
qubvel-org/segmentation_models.pytorch,11664,1839,79,2019-03-01T16:21:21Z,2026-07-21T07:05:51Z,Python,MIT License,Semantic segmentation models with 500+ pretrained convolutional and transformer-based backbones.
rerun-io/rerun,11167,801,1289,2022-04-08T07:30:05Z,2026-07-22T17:07:30Z,Rust,Apache License 2.0,"Visualize, query, and stream to train on multimodal robotics data."
PointCloudLibrary/pcl,11066,4692,582,2013-02-12T16:40:25Z,2026-07-16T13:47:37Z,C++,Other,Point Cloud Library (PCL)
esimov/caire,10466,387,3,2018-01-08T19:23:04Z,2025-05-02T08:19:39Z,Go,MIT License,Content aware image resize library
openframeworks/openFrameworks,10405,2575,1057,2009-10-21T21:55:54Z,2026-06-13T04:04:12Z,C++,Other,openFrameworks is a community-developed cross platform toolkit for creative coding in C++.
realsenseai/librealsense,8902,5035,486,2015-11-17T20:42:18Z,2026-07-22T11:51:20Z,C++,Apache License 2.0,RealSense SDK
roboflow/rf-detr,8648,1091,83,2025-03-19T20:43:00Z,2026-07-22T14:18:41Z,Python,Apache License 2.0,"RF-DETR is a real-time object detection and segmentation model architecture developed by Roboflow, SOTA on COCO, designed for fine-tuning. [ICLR 2026] "
bytedeco/javacv,8324,1621,465,2014-04-21T13:50:26Z,2026-02-26T05:30:11Z,Java,Other,"Java interface to OpenCV, FFmpeg, and more"
exadel-inc/CompreFace,8148,1146,234,2020-07-06T08:29:43Z,2024-10-05T10:45:30Z,Java,Apache License 2.0,Leading free and open-source face recognition system
microsoft/ailab,7850,1390,84,2018-07-23T22:40:54Z,2024-06-26T19:42:37Z,C#,MIT License,"Experience, Learn and Code the latest breakthrough innovations with Microsoft AI"
hybridgroup/gocv,7474,903,352,2017-09-18T21:54:17Z,2026-05-28T08:16:03Z,Go,Other,"Go package for computer vision using OpenCV 4 and beyond. Includes support for DNN, CUDA, OpenCV Contrib, and OpenVINO."
EutropicAI/Final2x,7219,521,5,2023-06-19T02:31:56Z,2026-07-16T00:24:15Z,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",a cross-platform image super-resolution tool
PeterL1n/BackgroundMattingV2,7181,958,46,2020-12-01T00:26:17Z,2024-06-19T12:28:16Z,Python,MIT License,Real-Time High-Resolution Background Matting
scikit-image/scikit-image,6559,2391,933,2011-07-07T22:07:20Z,2026-07-22T16:56:04Z,Python,Other,Image processing in Python
openMVG/openMVG,6521,1721,312,2013-02-08T16:01:08Z,2025-12-17T00:44:42Z,C++,Mozilla Public License 2.0,open Multiple View Geometry library. Basis for 3D computer vision and Structure from Motion.
liuruoze/EasyPR,6427,2472,88,2014-09-19T11:46:04Z,2024-06-04T13:10:44Z,C++,Apache License 2.0,"(CGCSTCD'2017) An easy, flexible, and accurate plate recognition project for Chinese licenses in unconstrained situations.  CGCSTCD = China Graduate Contest on Smart-city Technology and Creative Design"
shimat/opencvsharp,6041,1240,5,2013-12-21T00:27:48Z,2026-07-21T05:09:54Z,C#,Apache License 2.0,OpenCV wrapper for .NET
idealo/imagededup,5656,474,38,2019-04-05T12:10:54Z,2025-08-15T15:19:22Z,Python,Apache License 2.0,😎 Finding duplicate images made easy!
katanaml/sparrow,5183,518,0,2022-01-08T08:45:44Z,2026-06-30T08:55:30Z,Python,GNU General Public License v3.0,"Structured data extraction, instruction calling and agentic workflows with ML, LLM and Vision LLM"
sreeharierk/datascience,5159,523,8,2021-01-27T13:02:06Z,2026-02-01T18:20:19Z,,GNU General Public License v3.0,This repository is a compilation of free resources for learning Data Science.
esimov/pigo,4715,325,5,2018-05-14T07:19:03Z,2025-05-03T15:07:42Z,Go,MIT License,"Fast face detection, pupil/eyes localization and facial landmark points detection library in pure Go."
NVlabs/neuralangelo,4607,402,106,2023-06-23T20:52:42Z,2024-04-14T21:29:12Z,Python,Other,"Official implementation of ""Neuralangelo: High-Fidelity Neural Surface Reconstruction"" (CVPR 2023)"
STVIR/pysot,4604,1110,59,2019-05-07T12:37:56Z,2025-06-22T03:59:22Z,Python,Apache License 2.0,"SenseTime Research platform for single object tracking, implementing algorithms like SiamRPN and SiamMask."
TingsongYu/PyTorch-Tutorial-2nd,4571,486,1,2021-12-16T15:11:59Z,2025-01-27T04:35:29Z,Jupyter Notebook,,《Pytorch实用教程》（第二版）无论是零基础入门，还是CV、NLP、LLM项目应用，或是进阶工程化部署落地，在这里都有。相信在本书的帮助下，读者将能够轻松掌握 PyTorch 的使用，成为一名优秀的深度学习工程师。
PINTO0309/PINTO_model_zoo,4544,670,5,2019-12-11T13:02:40Z,2026-07-20T02:39:35Z,Python,MIT License,"A repository for storing models that have been inter-converted between various frameworks. Supported frameworks are TensorFlow, PyTorch, ONNX, OpenVINO, TFJS, TFTRT, TensorFlowLite (Float32/16/INT8), EdgeTPU, CoreML."
accord-net/framework,4540,1978,760,2012-04-08T13:35:01Z,2020-11-18T19:53:02Z,C#,GNU Lesser General Public License v2.1,"Machine learning, computer vision, statistics and general scientific computing for .NET"
ceres-solver/ceres-solver,4530,1130,69,2014-01-06T06:44:59Z,2026-07-03T17:54:06Z,C++,Other,A large scale non-linear optimization library
AaronJackson/vrn,4515,742,7,2017-06-20T12:35:33Z,2022-07-26T00:06:01Z,MATLAB,MIT License,":man:  Code for ""Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression"""
google-research/simclr,4505,667,71,2020-03-10T16:53:22Z,2023-05-22T04:42:53Z,Jupyter Notebook,Apache License 2.0,SimCLRv2 - Big Self-Supervised Models are Strong Semi-Supervised Learners
cyberbotics/webots,4471,2032,229,2018-11-05T14:09:10Z,2026-07-22T13:25:41Z,C++,Apache License 2.0,Webots Robot Simulator
MaaXYZ/MaaFramework,4463,504,104,2023-04-24T14:50:25Z,2026-07-21T09:24:13Z,C++,GNU Lesser General Public License v3.0,基于图像识别的自动化黑盒测试框架 | An automation black-box testing framework based on image recognition
royshil/obs-backgroundremoval,4429,283,26,2021-04-15T00:44:35Z,2026-07-20T03:47:16Z,C++,GNU General Public License v3.0,"An OBS plugin for removing background in portrait images (video), making it easy to replace the background when recording or streaming."
openMVG/awesome_3DReconstruction_list,4413,833,6,2016-08-18T12:22:32Z,2021-10-12T04:37:11Z,,,A curated list of papers & resources linked to 3D reconstruction from images.
open-compass/VLMEvalKit,4295,736,268,2023-12-01T08:18:11Z,2026-07-22T08:32:45Z,Python,Apache License 2.0,"Open-source evaluation toolkit of large multi-modality models (LMMs), support 220+ LMMs, 80+ benchmarks"
cs230-stanford/cs230-code-examples,4226,1010,18,2018-01-13T19:40:37Z,2023-03-24T23:40:51Z,Python,Other,Code examples in pyTorch and Tensorflow for CS230
wiltodelta/remove-ai-watermarks,4218,388,4,2026-03-25T18:15:24Z,2026-07-22T16:20:57Z,Python,Apache License 2.0,"AI watermark remover. CLI and Python library to strip visible and invisible AI watermarks (Gemini / Nano Banana sparkle, SynthID) and provenance metadata (C2PA, EXIF, IPTC) from images."
JDAI-CV/fast-reid,3967,879,18,2018-06-06T09:08:20Z,2024-07-30T14:37:38Z,Python,Apache License 2.0,SOTA Re-identification Methods and Toolbox
arXivTimes/arXivTimes,3900,198,2050,2016-10-26T05:27:39Z,2022-07-01T13:15:58Z,,MIT License,repository to research & share the machine learning articles
hustvl/4DGaussians,3836,382,135,2023-10-03T03:26:33Z,2024-10-27T04:07:37Z,Jupyter Notebook,Apache License 2.0,[CVPR 2024] 4D Gaussian Splatting for Real-Time Dynamic Scene Rendering
facebookresearch/habitat-sim,3762,542,270,2019-02-04T23:14:28Z,2026-07-21T10:16:05Z,C++,MIT License,"A flexible, high-performance 3D simulator for Embodied AI research."
M-3LAB/awesome-industrial-anomaly-detection,3713,333,1,2022-12-02T06:57:56Z,2026-07-13T03:59:24Z,,,Paper list and datasets for industrial image anomaly/defect detection (updating). 工业异常/瑕疵检测论文及数据集检索库(持续更新)。
cleardusk/3DDFA,3678,642,65,2018-06-29T14:19:21Z,2022-05-14T12:12:21Z,Python,MIT License,The PyTorch improved version of TPAMI 2017 paper: Face Alignment in Full Pose Range: A 3D Total Solution.
hemansnation/AI-Engineer-Headquarters,3668,701,17,2022-03-29T15:30:22Z,2025-11-07T16:24:38Z,Jupyter Notebook,,"A collection of scientific methods, processes, algorithms, and systems to build stories & models."
ZhaoJ9014/face.evoLVe,3586,760,96,2019-01-04T02:22:17Z,2025-03-20T02:45:06Z,Python,MIT License,🔥🔥High-Performance Face Recognition Library on PaddlePaddle & PyTorch🔥🔥
foolwood/SiamMask,3550,805,156,2019-03-04T11:34:17Z,2025-02-14T03:39:33Z,Python,MIT License,[CVPR19/TPAMI23] SiamMask: A Framework for Fast Online Object Tracking and Segmentation
SkalskiP/make-sense,3549,586,132,2019-06-14T17:22:39Z,2024-08-15T14:50:41Z,TypeScript,GNU General Public License v3.0,Free to use online tool for labelling photos. https://makesense.ai
podgorskiy/ALAE,3513,546,37,2019-03-12T18:31:50Z,2021-01-23T04:24:54Z,Python,,[CVPR2020] Adversarial Latent Autoencoders 
visionml/pytracking,3509,612,81,2019-04-03T10:17:53Z,2024-08-08T20:25:00Z,Python,GNU General Public License v3.0,Visual tracking library based on PyTorch.
girafe-ai/ml-course,3502,1309,42,2019-02-01T16:20:39Z,2026-05-04T20:44:21Z,Jupyter Notebook,MIT License,Open Machine Learning course
alicevision/AliceVision,3460,879,44,2014-12-30T15:39:27Z,2026-07-22T14:02:47Z,C++,Other,3D Computer Vision Framework
richzhang/colorization,3458,924,59,2016-03-26T02:33:33Z,2023-11-27T04:46:28Z,Python,"BSD 2-Clause ""Simplified"" License","Automatic colorization using deep neural networks. ""Colorful Image Colorization."" In ECCV, 2016."
towhee-io/towhee,3452,261,1,2021-07-13T08:28:50Z,2024-10-18T00:01:12Z,Python,Apache License 2.0,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.
MrNeRF/LichtFeld-Studio,3421,398,110,2023-07-30T19:55:48Z,2026-07-22T15:42:53Z,C++,GNU General Public License v3.0,"Train, inspect, edit, automate, and export 3D Gaussian Splatting scenes from a single native application."
vietanhdev/anylabeling,3416,347,91,2023-04-08T18:48:43Z,2026-07-11T06:07:05Z,Python,GNU General Public License v3.0,"Effortless AI-assisted data labeling with AI support from YOLO, Segment Anything (SAM+SAM2/2.1+SAM3), MobileSAM!!"
catalyst-team/catalyst,3378,400,6,2018-08-20T07:56:13Z,2026-07-08T21:40:01Z,Python,Apache License 2.0,Accelerated deep learning R&D
xinghaochen/awesome-hand-pose-estimation,3373,531,6,2017-03-22T15:52:31Z,2026-06-28T14:22:34Z,Python,,Awesome work on hand pose estimation/tracking
tianzhi0549/FCOS,3347,624,217,2019-04-10T05:59:14Z,2023-12-09T17:32:02Z,Python,Other,FCOS: Fully Convolutional One-Stage Object Detection (ICCV'19)
louisfb01/best_AI_papers_2022,3186,197,0,2022-01-14T19:32:18Z,2023-10-18T11:46:39Z,,MIT License,"A curated list of the latest breakthroughs in AI (in 2022) by release date with a clear video explanation, link to a more in-depth article, and code."
openvinotoolkit/openvino_notebooks,3186,1026,39,2021-03-11T09:01:13Z,2026-07-22T15:11:12Z,Jupyter Notebook,Apache License 2.0,📚 Jupyter notebook tutorials for OpenVINO™
ARM-software/ComputeLibrary,3174,820,6,2017-03-10T14:51:43Z,2026-07-22T14:19:39Z,C++,,The Compute Library is a set of computer vision and machine learning functions optimised for both Arm CPUs and GPUs using SIMD technologies.
handong1587/handong1587.github.io,3143,979,3,2015-08-15T08:49:23Z,2023-11-22T02:04:15Z,CSS,MIT License,
cleardusk/3DDFA_V2,3141,551,102,2020-08-25T09:25:30Z,2024-02-02T06:54:17Z,Python,MIT License,"The official PyTorch implementation of Towards Fast, Accurate and Stable 3D Dense Face Alignment, ECCV 2020."
microsoft/torchscale,3133,225,38,2022-11-17T08:55:59Z,2024-04-11T13:58:57Z,Python,MIT License,Foundation Architecture for (M)LLMs
jingyi0000/VLM_survey,3129,233,3,2023-03-30T06:06:59Z,2025-10-14T09:40:40Z,,,Collection of AWESOME vision-language models for vision tasks
open-mmlab/mmdeploy,3129,712,452,2021-12-24T13:04:44Z,2024-09-30T02:34:18Z,Python,Apache License 2.0,OpenMMLab Model Deployment Framework
automeris-io/WebPlotDigitizer,3124,437,104,2010-09-25T16:20:49Z,2026-06-16T07:54:27Z,JavaScript,GNU Affero General Public License v3.0,Computer vision assisted tool to extract numerical data from plot images.
rmurai0610/MASt3R-SLAM,3116,367,67,2025-02-24T16:18:37Z,2025-11-09T07:36:29Z,Python,Other,[CVPR 2025] MASt3R-SLAM: Real-Time Dense SLAM with 3D Reconstruction Priors
facebookresearch/habitat-lab,3072,683,388,2019-02-04T23:12:51Z,2026-05-07T22:03:51Z,Python,MIT License,A modular high-level library to train embodied AI agents across a variety of tasks and environments.
Tencent/tencent-ml-images,3066,507,47,2018-10-15T02:29:22Z,2022-04-20T07:00:12Z,Python,Other,Largest multi-label image database; ResNet-101 model; 80.73% top-1 acc on ImageNet
ieee8023/covid-chestxray-dataset,3061,1278,42,2020-02-14T23:22:23Z,2022-08-18T04:01:08Z,Jupyter Notebook,,We are building an open database of COVID-19 cases with chest X-ray or CT images.
weiaicunzai/awesome-image-classification,3056,608,1,2012-05-23T14:07:04Z,2022-04-20T15:52:51Z,,,A curated list of deep learning image classification papers and codes
x4nth055/pythoncode-tutorials,2990,1976,31,2019-07-29T12:35:40Z,2026-07-13T07:35:53Z,Jupyter Notebook,MIT License,The Python Code Tutorials
xdspacelab/openvslam,2979,868,207,2019-04-25T15:32:08Z,2021-02-25T06:32:26Z,,,OpenVSLAM: A Versatile Visual SLAM Framework
Cartucho/mAP,2964,919,99,2018-03-08T11:24:23Z,2024-08-15T13:09:32Z,Python,Apache License 2.0,mean Average Precision - This code evaluates the performance of your neural net for object recognition.
NVIDIA/MinkowskiEngine,2944,482,233,2019-04-04T01:52:33Z,2024-03-05T16:00:19Z,Python,Other,Minkowski Engine is an auto-diff neural network library for high-dimensional sparse tensors
SharpAI/DeepCamera,2938,460,12,2019-03-05T14:29:23Z,2026-06-18T04:37:54Z,JavaScript,MIT License,"Open-Source AI Camera Skills Platform, AI NVR & CCTV Surveillance. Local VLM video analysis with Qwen, DeepSeek, SmolVLM, LLaVA, YOLO26. LLM-powered agentic security camera agent — watches, understands, remembers & guards your home via Telegram, Discord or Slack. Pluggable AI skills. OpenAI, Google, Anthropic or local AI. Runs on Mac Mini & AI PC."
ndrplz/self-driving-car,2920,1391,12,2016-12-25T18:09:36Z,2023-03-28T00:13:06Z,C++,,Udacity Self-Driving Car Engineer Nanodegree projects.
Tencent/PocketFlow,2909,491,75,2018-10-31T07:45:21Z,2023-03-31T22:23:33Z,Python,Other,An Automatic Model Compression (AutoMC) framework for developing smaller and faster AI applications.
